Name,Desc,Model used,Model Deployment,Input Data,Input Format,Input PII Flag,Input Data Retention,Output Data,Output Format,Output PII Flag,Output Data Retention,Trial for Public Flag,Whitelist Flag,Link
OCR Document,Extract text from PDF file,PaddleOCR v5,On Prem,pdf with text inside it,PDF File,Depend on content,Deleted after process,Text from file according the pdf and,JSON,Depend on content,Not Saved,Yes,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/OCR_Document_Based/version/0.0.5
OCR Free Form,OCR wrapped with generative AI,"Qwen 3 VL 8B, PaddleOCR v5, Qwen 3 30B A3B",On Prem,Image and question regarding the image,"Image File, string question regarding the image",Depend on content,Deleted after process,Answer regarding question input,JSON,Depend on content,Not Saved,No,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/OCRFreeForm/version/0.0.1 
SDD Chatbot,"Backend chatbot for SDD Chatbot, support TelkomGPT",Qwen 3 30B A3B,On Prem,Question from user regarding product perf,JSON,No,Deleted after process,Answer regarding question input,JSON,No,Not Saved,No,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/sdd-chatbot/version/1.0.0 
Speech to text,Transcription Service API,Whisper V3 Large,On Prem,Audio Recording that want to be transcripted,Audio File,Depend on content,Deleted after process,Trasncription String based on audio content,JSON,Depend on content,Not Saved,Yes,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/Speech_To_Text/version/0.0.2 
Text to SQL,Turn human language question to ready to execute sql query,Qwen 3 30B A3B,On Prem,"User question, metadata table and special rules",JSON,No,Deleted after process,SQL Query,JSON,No,Not Saved,Yes,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/sql-generator/version/1.0.0
Telkom LLM,Internal managed on prem LLM Service,"Qwen 3 30B A3B, Qwen 3 4B, Azure GPT 5, Azure GPT 5 Mini","Qwen On Prem, GPT On Azure Cloud",User general question,JSON,No,Deleted after process,Answer regarding question input,JSON,No,Not Saved,Yes,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/Telkom-LLM/version/0.0.4 
Terra AI ID Check,AI Service to extract ID content from ID Card and give flags to them,"Qwen 3 30B A3B, Qwen 3 VL 8B",On Prem,Image of identity card,Image File,Yes,Deleted after process,Identity content and analytic flag (broken/no),JSON,Yes,Not Saved,No,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/Terra_AI_ID_Check/version/1.0.1 
Text Embedding,Convert Text to vector for further processing,Nomic Embed Text V2 MoE,On Prem,Text to be convert to vector,JSON,No,Deleted after process,Vector of Text feature,JSON,No,Not Saved,Yes,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/Text_Embedding/version/0.0.1
Text to image,Convert text to image using internal-managed generative AI model,Z Image,On Prem,Text to be convert to image,JSON,No,Deleted after process,String Base64 of the image,JSON,No,Not Saved,No,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/text_to_image/version/0.0.2 
Text to Speech,Convert from Text to speech audio (synthesis),Custom Model (Trained from collected dataset),On Prem,"Text to be synthesized to audio, model name",JSON,No,Deleted after process,Audio synthesis based on text input,audio file bin string,No,Not Saved,Yes,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/Text_To_Speech/version/0.0.3 
Wins SMSa2P Insider,backend chatbot for support WINS on SMSa2P Dashboard,Qwen 3 30B A3B,On Prem,Question from user regarding smsa2p data,JSON,No,Deleted after process,Answer regarding question input,JSON,No,Not Saved,No,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/WINS_SMS_A2P_Insider/version/1.0.0 
Zero shot Classification,Classifier text to predefined categories using LLM,Qwen 3 30B A3B,On Prem,"Text to be classified, categories",JSON,No,Deleted after process,Classify user text to predefined categories,JSON,No,Not Saved,No,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/Zero_Shot_Classification/version/0.0.1
